Ben's Somewhat Better Universe
SEC,East,West,,,,,,,,,,,
ACC,Atlantic,Coastal,,,,,,,,,,,
Big Ten,East,West,,,,,,,,,,,
Big 12,Sheriff,Outlaw,,,,,,,,,,,
Pac 12,North,South,,,,,,,,,,,
AAC,East,West,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# SEC,,,,,,,,,,,,,
TEAM,SEC,West,Alabama,ALA,95,AUB,,,,,,,
TEAM,SEC,West,Texas A&M,TAMU,85,LSU,,,,,,,
TEAM,SEC,West,LSU,LSU,85,TAMU,,,,,,,
TEAM,SEC,West,Auburn,AUB,85,ALA,,,,,,,
TEAM,SEC,West,Mississippi St,MSST,75,MISS,,,,,,,
TEAM,SEC,West,Ole Miss,MISS,75,MSST,,,,,,,
TEAM,SEC,West,Arkansas,ARK,70,MIZ,,,,,,,
TEAM,SEC,East,Georgia,UGA,90,GT,,,,,,,
TEAM,SEC,East,Florida,UF,90,FSU,,,,,,,
TEAM,SEC,East,Tennessee,TEN,80,VAN,,,,,,,
TEAM,SEC,East,South Carolina,SCAR,75,CLEM,,,,,,,
TEAM,SEC,East,Missouri,MIZ,75,ARK,,,,,,,
TEAM,SEC,East,Kentucky,UK,70,LOU,,,,,,,
TEAM,SEC,East,Vanderbilt,VAN,60,TEN,,,,,,,
# ACC,,,,,,,,,,,,,
TEAM,ACC,Atlantic,Clemson,CLEM,95,SCAR,,,,,,,
TEAM,ACC,Atlantic,Florida St,FSU,90,UF,,,,,,,
TEAM,ACC,Atlantic,Louisville,LOU,80,UK,,,,,,,
TEAM,ACC,Atlantic,NC State,NCST,80,UNC,,,,,,,
TEAM,ACC,Atlantic,Syracuse,SYR,75,WF,,,,,,,
TEAM,ACC,Atlantic,Boston College,BC,70,PITT,,,,,,,
TEAM,ACC,Atlantic,Wake Forest,WF,60,SYR,,,,,,,
TEAM,ACC,Coastal,Miami,UM,90,DUKE,,,,,,,
TEAM,ACC,Coastal,Virginia Tech,VT,85,UVA,,,,,,,
TEAM,ACC,Coastal,UNC,UNC,80,NCST,,,,,,,
TEAM,ACC,Coastal,Pittsburgh,PITT,75,BC,,,,,,,
TEAM,ACC,Coastal,Georgia Tech,GT,75,UGA,,,,,,,
TEAM,ACC,Coastal,Duke,DUKE,65,UM,,,,,,,
TEAM,ACC,Coastal,Virginia,UVA,60,VT,,,,,,,
# B10,,,,,,,,,,,,,
TEAM,Big Ten,West,Wisconsin,WIS,90,MINN,,,,,,,
TEAM,Big Ten,West,Nebraska,NEB,85,IOWA,,,,,,,
TEAM,Big Ten,West,Iowa,IOWA,80,NEB,,,,,,,
TEAM,Big Ten,West,Northwestern,NW,75,ILL,,,,,,,
TEAM,Big Ten,West,Purdue,PUR,70,IND,,,,,,,
TEAM,Big Ten,West,Minnesota,MINN,65,WIS,,,,,,,
TEAM,Big Ten,West,Illinois,ILL,60,NW,,,,,,,
TEAM,Big Ten,East,Ohio State,OSU,95,MICH,,,,,,,
TEAM,Big Ten,East,Michigan,MICH,90,OSU,,,,,,,
TEAM,Big Ten,East,Penn State,PSU,85,RUT,,,,,,,
TEAM,Big Ten,East,Michigan St,MSU,85,MD,,,,,,,
TEAM,Big Ten,East,Maryland,MD,75,MSU,,,,,,,
TEAM,Big Ten,East,Indiana,IND,65,PUR,,,,,,,
TEAM,Big Ten,East,Rutgers,RUT,55,PSU,,,,,,,
# Big12,,,,,,,,,,,,,
TEAM,Big 12,Sheriff,Texas,TEX,90,TTU,,,,,,,
TEAM,Big 12,Sheriff,TCU,TCU,80,WVU,,,,,,,
TEAM,Big 12,Sheriff,Boise State,BSU,80,CSU,,,,,,,
TEAM,Big 12,Sheriff,Texas Tech,TTU,75,TEX,,,,,,,
TEAM,Big 12,Sheriff,Baylor,BAY,70,KU,,,,,,,
TEAM,Big 12,Sheriff,Colorado St,CSU,60,BSU,,,,,,,
TEAM,Big 12,Sheriff,Hawaii,HAW,65,ARMY,,,,,,,
TEAM,Big 12,Outlaw,Oklahoma,OKL,95,OKST,,,,,,,
TEAM,Big 12,Outlaw,Oklahoma St,OKST,85,OKL,,,,,,,
TEAM,Big 12,Outlaw,Kansas St,KSU,80,BSU,,,,,,,
TEAM,Big 12,Outlaw,Kansas St,KSU,80,ISU,,,,,,,
TEAM,Big 12,Outlaw,West Virginia,WVU,80,TCU,,,,,,,
TEAM,Big 12,Outlaw,Army,ARMY,60,HAW,,,,,,,
TEAM,Big 12,Outlaw,Iowa St,ISU,60,KSU,,,,,,,
TEAM,Big 12,Outlaw,Kansas,KU,50,BAY,,,,,,,
# Pac 12,,,,,,,,,,,,,
TEAM,Pac 12,North,Oregon,ORE,90,ORST,,,,,,,
TEAM,Pac 12,North,Notre Dame,ND,90,STAN,,,,,,,
TEAM,Pac 12,North,Washington,WASH,85,WSU,,,,,,,
TEAM,Pac 12,North,Stanford,STAN,85,ND,,,,,,,
TEAM,Pac 12,North,Washington St,WSU,75,WASH,,,,,,,
TEAM,Pac 12,North,California,CAL,70,UCLA,,,,,,,
TEAM,Pac 12,North,Oregon St,ORST,60,ORE,,,,,,,
TEAM,Pac 12,South,San Diego St,SDSU,90,BYU,,,,,,,
TEAM,Pac 12,South,UCLA,UCLA,85,CAL,,,,,,,
TEAM,Pac 12,South,Utah,UTAH,75,COLO,,,,,,,
TEAM,Pac 12,South,BYU,BYU,75,SDSU,,,,,,,
TEAM,Pac 12,South,Arizona,ARIZ,75,ASU,,,,,,,
TEAM,Pac 12,South,Arizona St,ASU,70,ARIZ,,,,,,,
TEAM,Pac 12,South,Colorado,COLO,65,UTAH,,,,,,,
# AAC,,,,,,,,,,,,,
TEAM,AAC,West,Houston,HOU,80,UCF,,,,,,,
TEAM,AAC,West,Memphis,MEM,75,CIN,,,,,,,
TEAM,AAC,West,SMU,SMU,70,TULN,,,,,,,
TEAM,AAC,West,App State,APP,70,TROY,,,,,,,
TEAM,AAC,West,Navy,NAVY,70,USF,,,,,,,
TEAM,AAC,West,Tulane,TULN,60,SMU,,,,,,,
TEAM,AAC,West,Tulsa,TLSA,55,ECU,,,,,,,
TEAM,AAC,East,UCF,UCF,80,HOU,,,,,,,
TEAM,AAC,East,Cincinnati,CIN,75,MEM,,,,,,,
TEAM,AAC,East,South Florida,USF,75,NAVY,,,,,,,
TEAM,AAC,East,Troy,TROY,70,APP,,,,,,,
TEAM,AAC,East,Temple,TEM,70,CONN,,,,,,,
TEAM,AAC,East,East Carolina,ECU,65,TLSA,,,,,,,
TEAM,AAC,East,Connecticut,CONN,55,TEM,,,,,,,
# Coach format:,Team,Name,Age,Offense,Defense,Recruiting,Training,Off Scheme,Def Scheme,,,,
# COACH,ALA,Nick Saban,65,90,90,90,90,Pro Style,Conservative,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# OC,ALA,Mike Locksley,55,90,QB,Deep Pass,,,,,,,
# Coordinator,Team,Name,Age,Playcalling,Position Bonus,Play Bonus,,,,,,,
# DC,ALA,Kirby Smart,55,95,LB,Inside Run,,,,,,,
# Player format:,Team,Position,Name,Year (String),Height,Weight,Stars,,,,,,
# PLAYER,ALA,QB,Tua Tagovailoa,So,72,200,5,,,,,,
# OR:,Team,Position,Name,Year (String),Height,Weight,Potential,Football IQ,Durability,Attribute1,Attribute2,Attribute3,Attribute4
PLAYER,ALA,QB,Jalen Hurts,Jr,72,200,75,90,100,75,85,95,95
END_FILE,,,,,,,,,,,,,
